source_file,print_speed_mms,layer,temp_now_C,temp_next_C,delta_T_C,state_now,state_next_if_hold,temp_bin_now,temp_bin_next
print_001_130mms_20260611_103452.csv,130.0,16,38.94,39.56,0.6200000000000045,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,17,39.56,39.16,-0.4000000000000057,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,18,39.16,39.34,0.18000000000000682,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,19,39.34,39.16,-0.18000000000000682,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,20,39.16,39.84,0.6800000000000068,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,21,39.84,39.44,-0.4000000000000057,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,22,39.44,39.16,-0.28000000000000114,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,23,39.16,39.56,0.4000000000000057,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,24,39.56,39.66,0.09999999999999432,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,25,39.66,39.94,0.28000000000000114,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,26,39.94,39.44,-0.5,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,27,39.44,39.84,0.4000000000000057,10,10,1,1
print_001_130mms_20260611_103452.csv,130.0,28,39.84,40.56,0.7199999999999989,10,16,1,2
print_001_130mms_20260611_103452.csv,130.0,29,40.56,39.06,-1.5,16,10,2,1
print_001_130mms_20260611_103452.csv,130.0,30,39.06,40.56,1.5,10,16,1,2
print_001_130mms_20260611_103452.csv,130.0,31,40.56,39.75,-0.8100000000000023,16,10,2,1
print_001_130mms_20260611_103452.csv,130.0,32,39.75,40.66,0.9099999999999966,10,16,1,2
print_001_130mms_20260611_103452.csv,130.0,33,40.66,40.66,0.0,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,34,40.66,41.75,1.0900000000000034,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,35,41.75,40.66,-1.0900000000000034,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,36,40.66,40.06,-0.5999999999999943,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,37,40.06,40.44,0.37999999999999545,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,38,40.44,40.84,0.4000000000000057,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,39,40.84,40.34,-0.5,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,40,40.34,40.16,-0.18000000000000682,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,41,40.16,41.06,0.9000000000000057,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,42,41.06,41.44,0.37999999999999545,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,43,41.44,39.94,-1.5,16,10,2,1
print_001_130mms_20260611_103452.csv,130.0,44,39.94,40.56,0.6200000000000045,10,16,1,2
print_001_130mms_20260611_103452.csv,130.0,45,40.56,40.66,0.09999999999999432,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,46,40.66,40.84,0.18000000000000682,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,47,40.84,40.66,-0.18000000000000682,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,48,40.66,40.66,0.0,16,16,2,2
print_001_130mms_20260611_103452.csv,130.0,49,40.66,40.84,0.18000000000000682,16,16,2,2
print_001_170mms_20260611_101330.csv,170.0,1,31.84,32.66,0.8199999999999967,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,2,32.66,32.66,0.0,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,3,32.66,33.06,0.4000000000000057,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,4,33.06,33.06,0.0,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,5,33.06,33.34,0.28000000000000114,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,6,33.34,34.94,1.5999999999999943,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,7,34.94,34.06,-0.8799999999999955,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,8,34.06,33.75,-0.3100000000000023,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,9,33.75,35.75,2.0,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,10,35.75,33.75,-2.0,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,11,33.75,34.84,1.0900000000000034,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,12,34.84,34.25,-0.5900000000000034,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,13,34.25,34.56,0.3100000000000023,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,14,34.56,34.25,-0.3100000000000023,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,15,34.25,33.94,-0.3100000000000023,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,16,33.94,34.84,0.9000000000000057,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,17,34.84,33.75,-1.0900000000000034,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,18,33.75,35.56,1.8100000000000023,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,19,35.56,34.94,-0.6200000000000045,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,20,34.94,34.94,0.0,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,21,34.94,35.25,0.3100000000000023,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,22,35.25,35.16,-0.09000000000000341,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,23,35.16,34.66,-0.5,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,24,34.66,36.34,1.6800000000000068,5,11,0,1
print_001_170mms_20260611_101330.csv,170.0,25,36.34,35.94,-0.4000000000000057,11,5,1,0
print_001_170mms_20260611_101330.csv,170.0,26,35.94,35.94,0.0,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,27,35.94,35.94,0.0,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,28,35.94,35.66,-0.28000000000000114,5,5,0,0
print_001_170mms_20260611_101330.csv,170.0,29,35.66,36.06,0.4000000000000057,5,11,0,1
print_001_170mms_20260611_101330.csv,170.0,30,36.06,36.25,0.18999999999999773,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,31,36.25,36.44,0.18999999999999773,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,32,36.44,36.66,0.21999999999999886,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,33,36.66,36.66,0.0,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,34,36.66,36.94,0.28000000000000114,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,35,36.94,37.56,0.6200000000000045,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,36,37.56,38.84,1.2800000000000011,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,37,38.84,36.75,-2.0900000000000034,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,38,36.75,37.25,0.5,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,39,37.25,36.94,-0.3100000000000023,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,40,36.94,37.84,0.9000000000000057,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,41,37.84,37.56,-0.28000000000000114,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,42,37.56,36.66,-0.9000000000000057,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,43,36.66,37.44,0.7800000000000011,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,44,37.44,37.56,0.12000000000000455,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,45,37.56,37.84,0.28000000000000114,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,46,37.84,37.44,-0.4000000000000057,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,47,37.44,37.66,0.21999999999999886,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,48,37.66,37.75,0.09000000000000341,11,11,1,1
print_001_170mms_20260611_101330.csv,170.0,49,37.75,37.75,0.0,11,11,1,1
print_001_20mms_20260611_111637.csv,20.0,1,43.16,42.44,-0.7199999999999989,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,2,42.44,42.56,0.12000000000000455,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,3,42.56,43.44,0.8799999999999955,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,4,43.44,42.75,-0.6899999999999977,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,5,42.75,42.84,0.09000000000000341,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,6,42.84,42.44,-0.4000000000000057,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,7,42.44,42.25,-0.18999999999999773,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,8,42.25,42.44,0.18999999999999773,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,9,42.44,42.56,0.12000000000000455,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,10,42.56,42.25,-0.3100000000000023,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,11,42.25,42.84,0.5900000000000034,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,12,42.84,42.94,0.09999999999999432,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,13,42.94,42.94,0.0,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,14,42.94,42.25,-0.6899999999999977,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,15,42.25,43.25,1.0,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,16,43.25,42.56,-0.6899999999999977,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,17,42.56,43.06,0.5,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,18,43.06,42.56,-0.5,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,19,42.56,43.06,0.5,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,20,43.06,42.25,-0.8100000000000023,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,21,42.25,42.25,0.0,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,22,42.25,43.84,1.5900000000000034,12,18,2,3
print_001_20mms_20260611_111637.csv,20.0,23,43.84,45.94,2.0999999999999943,18,24,3,4
print_001_20mms_20260611_111637.csv,20.0,24,45.94,43.06,-2.8799999999999955,24,12,4,2
print_001_20mms_20260611_111637.csv,20.0,25,43.06,42.44,-0.6200000000000045,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,26,42.44,42.75,0.3100000000000023,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,27,42.75,42.84,0.09000000000000341,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,28,42.84,43.16,0.3199999999999932,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,29,43.16,42.66,-0.5,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,30,42.66,42.06,-0.5999999999999943,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,31,42.06,43.44,1.3799999999999955,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,32,43.44,42.66,-0.7800000000000011,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,33,42.66,44.56,1.9000000000000057,12,18,2,3
print_001_20mms_20260611_111637.csv,20.0,34,44.56,42.16,-2.4000000000000057,18,12,3,2
print_001_20mms_20260611_111637.csv,20.0,35,42.16,43.84,1.6800000000000068,12,18,2,3
print_001_20mms_20260611_111637.csv,20.0,36,43.84,42.94,-0.9000000000000057,18,12,3,2
print_001_20mms_20260611_111637.csv,20.0,37,42.94,42.44,-0.5,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,38,42.44,43.06,0.6200000000000045,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,39,43.06,42.84,-0.21999999999999886,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,40,42.84,42.84,0.0,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,41,42.84,42.56,-0.28000000000000114,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,42,42.56,42.66,0.09999999999999432,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,43,42.66,42.34,-0.3199999999999932,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,44,42.34,43.06,0.7199999999999989,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,45,43.06,43.44,0.37999999999999545,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,46,43.44,43.06,-0.37999999999999545,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,47,43.06,43.34,0.28000000000000114,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,48,43.34,43.34,0.0,12,12,2,2
print_001_20mms_20260611_111637.csv,20.0,49,43.34,42.56,-0.7800000000000011,12,12,2,2
print_001_40mms_20260611_110707.csv,40.0,1,43.34,43.34,0.0,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,2,43.34,42.66,-0.6800000000000068,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,3,42.66,42.34,-0.3199999999999932,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,4,42.34,42.25,-0.09000000000000341,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,5,42.25,42.44,0.18999999999999773,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,6,42.44,44.06,1.6200000000000045,13,19,2,3
print_001_40mms_20260611_110707.csv,40.0,7,44.06,41.84,-2.219999999999999,19,13,3,2
print_001_40mms_20260611_110707.csv,40.0,8,41.84,42.34,0.5,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,9,42.34,43.25,0.9099999999999966,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,10,43.25,42.34,-0.9099999999999966,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,11,42.34,42.06,-0.28000000000000114,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,12,42.06,42.25,0.18999999999999773,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,13,42.25,43.25,1.0,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,14,43.25,42.66,-0.5900000000000034,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,15,42.66,42.66,0.0,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,16,42.66,43.44,0.7800000000000011,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,17,43.44,43.16,-0.28000000000000114,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,18,43.16,42.94,-0.21999999999999886,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,19,42.94,42.44,-0.5,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,20,42.44,42.44,0.0,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,21,42.44,42.06,-0.37999999999999545,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,22,42.06,42.66,0.5999999999999943,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,23,42.66,43.56,0.9000000000000057,13,19,2,3
print_001_40mms_20260611_110707.csv,40.0,24,43.56,42.34,-1.2199999999999989,19,13,3,2
print_001_40mms_20260611_110707.csv,40.0,25,42.34,43.06,0.7199999999999989,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,26,43.06,42.06,-1.0,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,27,42.06,42.25,0.18999999999999773,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,28,42.25,42.56,0.3100000000000023,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,29,42.56,42.34,-0.21999999999999886,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,30,42.34,44.25,1.9099999999999966,13,19,2,3
print_001_40mms_20260611_110707.csv,40.0,31,44.25,42.66,-1.5900000000000034,19,13,3,2
print_001_40mms_20260611_110707.csv,40.0,32,42.66,42.56,-0.09999999999999432,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,33,42.56,42.56,0.0,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,34,42.56,43.44,0.8799999999999955,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,35,43.44,42.84,-0.5999999999999943,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,36,42.84,42.94,0.09999999999999432,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,37,42.94,42.66,-0.28000000000000114,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,38,42.66,42.34,-0.3199999999999932,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,39,42.34,42.94,0.5999999999999943,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,40,42.94,42.84,-0.09999999999999432,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,41,42.84,43.25,0.4099999999999966,13,13,2,2
print_001_40mms_20260611_110707.csv,40.0,42,43.25,43.25,0.0,13,13,2,2
