H(Gpa)
12.47239132
11.71920266
12.08341737
12.1312001
12.17847568
11.80252448
11.8049993
11.98585314
12.05078405
11.79984659
11.51142358
11.46816288
11.94140686
11.70713341
11.68977269
12.02235814
11.89052012
11.98979283
11.55071816
11.99791687
11.54790179
12.21151233
11.81370784
12.08137898
11.62015605
11.54239179
11.59548851
12.40107496
12.08288575
11.50446646
12.27188791
11.65066862
12.04408172
11.61068392
12.01606854
12.2192525
11.81137064
11.78406747
11.70435694
11.97843264
11.61569674
11.69039752
11.86703099
11.77886711
11.35060097
11.33887584
11.89469987
11.73708645
11.75015244
11.77486907
12.15908247
11.69516192
11.93036741
11.71135245
11.83079236
11.77640524
12.06976774
11.57729055
12.27763778
11.45532306
11.77467731
11.96592011
11.15898257
11.51203841
11.8444212
11.79122898
11.77429813
12.13030748
11.68368849
11.72205318
11.66151563
11.67242032
11.74809811
11.69848499
11.85327631
11.68163401
11.77119913
12.10804811
11.94430951
11.50822692
11.84208002
11.64165715
11.98800488
11.7270937
11.64069179
11.51243956
11.51581789
11.40526704
12.3594247
11.9027793
12.08086016
12.32061874
10.86438385
11.46574731
12.13842185
11.55246553
11.5357176
11.62072381
11.35365946
11.83715435
11.74560986
11.62865309
12.17464965
11.89874596
12.11451385
11.82550245
11.99839786
11.75006322
11.7449562
12.10969925
12.19384512
11.801946
11.97998731
12.21290926
11.8845456
11.84415405
12.08187572
11.86595283
11.60510505
11.39912948
11.54102663
12.32857066
11.91668618
11.95315137
11.63848367
11.59044809
11.58093203
11.63089052
11.50038903
11.49216605
12.04155762
12.06103451
11.54578432
11.625327
11.33862407
11.66575319
11.65800019
12.28350937
12.19721974
11.84134598
11.62133576
12.00992904
11.6977909
11.62269077
