Volume_Fraction,Strain,Stress
23,0.03,45.83845616
23,0.035,47.07631086
23,0.04,47.83294839
23,0.045,48.28255747
23,0.05,48.5646318
23,0.055,48.78651175
23,0.06,48.96372766
23,0.065,49.11510989
23,0.07,49.25095386
23,0.075,49.37673896
23,0.08,49.49607176
23,0.085,49.61088337
23,0.09,49.75362117
23,0.095,49.86768841
23,0.1,49.97711051
24,0.001,5.19357173
24,0.002,9.968500885
24,0.015,39.00642631
24,0.02,41.79196716
24,0.025,44.22851682
24,0.03,46.11958841
24,0.035,47.34753223
24,0.04,48.08840927
24,0.045,48.5243129
24,0.05,48.79356077
24,0.055,49.00562798
24,0.06,49.17703176
24,0.065,49.32530161
24,0.07,49.45995892
24,0.075,49.58592775
24,0.08,49.70599812
24,0.085,49.82223833
24,0.09,49.9352134
24,0.095,50.04619112
24,0.1,50.18711132
25,0.001,5.588351952
25,0.002,10.47585846
25,0.015,39.43333066
25,0.02,42.29394989
25,0.025,44.74591548
25,0.03,46.60745186
25,0.035,47.80806482
25,0.04,48.51474129
25,0.045,48.95677313
25,0.05,49.2653139
25,0.055,49.4957292
25,0.06,49.68089679
25,0.065,49.84078848
25,0.07,49.98511226
25,0.075,50.11929174
25,0.08,50.24641323
25,0.085,50.36895661
25,0.09,50.48846175
25,0.095,50.60561317
25,0.1,50.72080849
26,0.001,5.30898418
26,0.002,10.2451422
26,0.015,39.42448585
26,0.02,42.3136873
26,0.025,44.7576371
26,0.03,46.4882125
26,0.035,47.57343092
26,0.04,48.20957106
26,0.045,48.64364206
26,0.05,48.91333144
26,0.055,49.13866943
26,0.06,49.32652479
26,0.065,49.49025431
26,0.07,49.63866831
26,0.075,49.77742448
26,0.08,49.94276751
26,0.085,50.0758718
26,0.09,50.20193557
26,0.095,50.32424613
26,0.1,50.44412151
27,0.001,5.400740434
27,0.002,10.54726678
27,0.015,39.79510711
27,0.02,42.73725413
27,0.025,45.1992047
27,0.03,46.92215685
27,0.035,47.97698331
27,0.04,48.61244985
27,0.045,49.00304603
27,0.05,49.29677308
27,0.055,49.52653959
27,0.06,49.71825573
27,0.065,49.88683388
27,0.07,50.04061564
27,0.075,50.18435249
27,0.08,50.32110845
27,0.085,50.45304491
27,0.09,50.58161755
27,0.095,50.70745221
27,0.1,50.83140627
28,0.001,5.446552468
28,0.002,10.61894737
28,0.015,39.91405624
28,0.02,42.87986648
28,0.025,45.38248928
28,0.03,47.08658921
28,0.035,48.11424823
28,0.04,48.7468971
28,0.045,49.14205783
28,0.05,49.43558421
28,0.055,49.66259082
28,0.06,49.85096984
28,0.065,50.015614
28,0.07,50.16591449
28,0.075,50.30629046
28,0.08,50.44018138
28,0.085,50.56960815
28,0.09,50.69573857
28,0.095,50.81962092
28,0.1,50.97585463
29,0.001,5.57198569
29,0.002,10.93029578
29,0.015,40.29361191
29,0.02,43.33864506
29,0.025,45.81252286
29,0.03,47.45941011
29,0.035,48.44747834
29,0.04,49.0516627
29,0.045,49.43158546
